value,datetime_start,datetime_complete,params,params,params,params,params,params,params,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,,,,,
,,,extra_porc,inc_filter,input_factor,max_pool_layers,replace_max_pool_with_stride,st_filter,stack_layers,0_IOU,0_precision,0_recall,1_IOU,1_precision,1_recall,eval_time_bs10,global_IOU,global_loss_test,global_precision,global_recall,out_path,,,,,
0.22,2019-10-12 20:51:18.689956,2019-10-12 20:52:09.826229,4,30,0.25,True,False,50,1,0.06,0.14,0.73,0.05,0.12,0.72,0.01,0.06,0.31,0.13,0.73,clf_images/saved_models/clf_enemy/12_Oct_2019__20_51_58,,,,,Muy bueno
0.16,2019-10-12 20:29:16.097764,2019-10-12 20:30:50.416408,3,30,0.5,True,False,30,3,0.04,0.08,0.64,0.05,0.11,0.72,0.05,0.04,0.25,0.09,0.67,clf_images/saved_models/clf_enemy/12_Oct_2019__20_30_37,,,,,
0.16,2019-10-12 23:43:29.469351,2019-10-12 23:45:30.254246,4,40,0.5,True,False,50,3,0.03,0.07,0.58,0.06,0.16,0.78,0.02,0.04,0.23,0.09,0.65,clf_images/saved_models/clf_enemy/12_Oct_2019__23_45_18,,,,,
0.16,2019-10-12 21:07:38.430162,2019-10-12 21:08:30.574899,2,40,0.25,True,False,50,1,0.03,0.08,0.73,0.04,0.12,0.89,0.01,0.04,0.40,0.09,0.78,clf_images/saved_models/clf_enemy/12_Oct_2019__21_08_16,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"learning rate 0,001",,,,,,,,,,,,,,,,,,,,,,,,
,,extra porc 2-4,,,,,,,,,,,,,,,,,,,,,,,,
,,Inc 30 >> 40  >> 50,,,,,,,,,,,,,,,,,,,,,,,,
,,"input_factor 0,25 >> 0.5",,,,,,,,,,,,,,,,,,,,,,,,
,,Max pool layer True,,,,,,,,,,,,,,,,,,,,,,,,
,,start_filer 50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stacks 1 si 0.25,,,,,,,,,,,,,,,,,,,,,,,,
,,Stacks 3 si 0.5,,,,,,,,,,,,,,,,,,,,,,,,
