,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,system_attrs,system_attrs
,,,,,,extra_porc,inc_filter,input_factor,learning_rate,loss_string,max_pool_layers,replace_max_pool_with_stride,st_filter,stack_layers,0_IOU,0_precision,0_recall,1_IOU,1_precision,1_recall,eval_time_bs10,global_IOU,global_loss_test,global_precision,global_recall,out_path,_number,fail_reason
0,0,TrialState.COMPLETE,0.04779607010090282,2019-10-12 13:38:30.659048,2019-10-12 13:45:03.839766,3,30.0,0.5,0.001,mse,False,False,50.0,3,0.011872576718669267,0.026196928635953028,0.8787878787878788,0.009254562739460822,0.022068965517241378,0.8888888888888888,0.19853806495666504,0.010836517693054572,0.083605095744133,0.024563318777292575,0.8823529411764706,clf_images/saved_models/clf_enemy/12_Oct_2019__13_44_48,0,
1,1,TrialState.COMPLETE,0.005042016806722689,2019-10-12 13:45:04.001188,2019-10-12 13:46:01.177330,2,40.0,0.25,0.001,mse,True,False,30.0,3,0.016517775969920594,0.007407407407407408,0.1,0.005329297554736725,0.0,0.0,0.018753210703531902,0.009297190512836081,0.15506930649280548,0.002626970227670753,0.0625,clf_images/saved_models/clf_enemy/12_Oct_2019__13_45_45,1,
2,2,TrialState.COMPLETE,0.04574780058651026,2019-10-12 13:46:01.573302,2019-10-12 13:55:31.256507,2,50.0,0.5,0.0001,cross_entropy,False,True,50.0,3,0.011609872949985374,0.027055150884495317,0.7878787878787878,0.008474512844237938,0.01875901875901876,0.7222222222222222,0.2293571631113688,0.010296206351869912,0.41336455941200256,0.02357920193470375,0.7647058823529411,clf_images/saved_models/clf_enemy/12_Oct_2019__13_55_13,2,
3,3,TrialState.COMPLETE,0.04152637485970819,2019-10-12 13:55:31.649106,2019-10-12 14:03:50.695635,2,50.0,0.5,0.0001,cross_entropy,False,False,40.0,3,0.010343334544861587,0.02359882005899705,0.7272727272727273,0.008919102315546315,0.018207282913165267,0.7222222222222222,0.2497551441192627,0.009755869604520108,0.4226595163345337,0.021374927787406125,0.7254901960784313,clf_images/saved_models/clf_enemy/12_Oct_2019__14_03_33,3,
4,4,TrialState.RUNNING,,2019-10-12 14:03:50.873894,,4,50.0,0.25,,,False,,40.0,2,,,,,,,,,,,,,4,
5,5,TrialState.COMPLETE,0.08536585365853658,2019-10-12 18:10:08.607936,2019-10-12 18:12:13.690677,2,50.0,0.25,0.0001,mse,False,False,40.0,2,0.02720041165495826,0.06281407035175879,0.7575757575757576,0.014955725925792893,0.026954177897574125,0.5555555555555556,0.04694008827209473,0.021293027512539076,0.14346745610237122,0.045513654096228866,0.6862745098039216,clf_images/saved_models/clf_enemy/12_Oct_2019__18_11_58,5,
6,6,TrialState.COMPLETE,0.12290502793296089,2019-10-12 18:12:13.955639,2019-10-12 18:14:41.232952,3,40.0,0.25,0.0001,cross_entropy,False,True,50.0,3,0.03144362060012506,0.0634441087613293,0.6363636363636364,0.03751681203974173,0.07741935483870968,0.6666666666666666,0.09234817822774251,0.03338054379588758,0.3301595449447632,0.06790123456790123,0.6470588235294118,clf_images/saved_models/clf_enemy/12_Oct_2019__18_14_27,6,
7,7,TrialState.FAIL,,2019-10-12 18:14:41.504278,2019-10-12 18:15:10.463260,1,50.0,0.5,0.001,cross_entropy,False,False,40.0,4,,,,,,,,,,,,,7,Setting status of trial#7 as TrialState.FAIL because of the following error: ResourceExhaustedError()
8,8,TrialState.COMPLETE,0.040987424312994875,2019-10-12 18:15:11.321406,2019-10-12 18:18:53.126658,4,40.0,0.5,0.001,cross_entropy,False,True,40.0,2,0.008647152786203803,0.019189765458422176,0.8181818181818182,0.010065206531812011,0.02467343976777939,0.9444444444444444,0.10904502868652344,0.009113297361930927,0.3163785934448242,0.02099236641221374,0.8627450980392157,clf_images/saved_models/clf_enemy/12_Oct_2019__18_18_35,8,
9,9,TrialState.COMPLETE,0.01661129568106312,2019-10-12 18:18:53.390094,2019-10-12 18:20:41.193703,2,40.0,0.5,0.0001,cross_entropy,False,False,30.0,1,0.010503637470255615,0.013089005235602094,0.30303030303030304,0.007120630455753718,0.0,0.0,0.04491925239562988,0.009362276040384636,0.5940134525299072,0.008673026886383347,0.19607843137254902,clf_images/saved_models/clf_enemy/12_Oct_2019__18_20_27,9,
10,10,TrialState.COMPLETE,0.050505050505050504,2019-10-12 18:20:41.480183,2019-10-12 18:21:32.758857,2,50.0,0.25,0.001,cross_entropy,False,True,30.0,1,0.017802843957264846,0.03940886699507389,0.7272727272727273,0.007655583014808015,0.015151515151515152,0.6111111111111112,0.016359488169352215,0.012284558231254614,0.43706780672073364,0.026217228464419477,0.6862745098039216,clf_images/saved_models/clf_enemy/12_Oct_2019__18_21_18,10,
11,11,TrialState.COMPLETE,0.09736842105263159,2019-10-12 18:21:33.029718,2019-10-12 18:25:18.406784,2,50.0,0.25,0.0001,cross_entropy,False,True,30.0,4,0.025564256341370058,0.054945054945054944,0.7575757575757576,0.023759500445421026,0.047244094488188976,0.6666666666666666,0.13155857721964517,0.024917700632525134,0.36417722702026367,0.05218617771509168,0.7254901960784313,clf_images/saved_models/clf_enemy/12_Oct_2019__18_25_03,11,
12,12,TrialState.COMPLETE,0.0,2019-10-12 18:25:18.678716,2019-10-12 18:41:44.305463,1,30.0,0.25,0.001,mse,True,False,30.0,4,0.04169072419391639,0.0,0.0,0.03175572022463043,0.0,0.0,0.015553156534830729,0.03672322220927341,0.06872345507144928,0.0,0.0,clf_images/saved_models/clf_enemy/12_Oct_2019__18_40_34,12,
13,13,TrialState.COMPLETE,0.0,2019-10-12 18:41:44.588787,2019-10-12 18:58:04.430208,1,30.0,0.25,0.001,mse,True,False,30.0,4,0.04169072419391639,0.0,0.0,0.03175572022463043,0.0,0.0,0.00996700922648112,0.03672322220927341,0.06872345507144928,0.0,0.0,clf_images/saved_models/clf_enemy/12_Oct_2019__18_56_55,13,
14,14,TrialState.COMPLETE,0.0,2019-10-12 18:58:04.708464,2019-10-12 19:14:32.733168,1,50.0,0.25,0.001,mse,True,False,30.0,4,0.04169072419391639,0.0,0.0,0.03175572022463043,0.0,0.0,0.01928853988647461,0.03672322220927341,0.06872345507144928,0.0,0.0,clf_images/saved_models/clf_enemy/12_Oct_2019__19_13_22,14,
